character,count,frequency
.,31891,0.1321200270114633
o,25589,0.1060117077293385
e,20544,0.0851109665712427
h,17877,0.0740619523653673
y,17691,0.0732913799460599
a,15775,0.0653536554546998
c,13373,0.055402499803214
d,13073,0.0541596410623956
i,12066,0.0499877785557152
l,12029,0.0498344926443476
k,10953,0.045376772627279
t,8357,0.0346219016567307
r,7839,0.0324758988975842
n,7531,0.0311998972570107
s,7475,0.0309678969587246
q,5430,0.0224957432088127
p,3035,0.0125735875946126
{,2044,0.0084680108874425
},2044,0.0084680108874425
=,1783,0.0073867237829305
